"Gemeenten";"Aardgasverbruik Gebouwde omgeving|2017";"Aardgasverbruik Gebouwde omgeving|2018";"Aardgasverbruik Gebouwde omgeving|2019";"Aardgasverbruik Gebouwde omgeving|2020";"Aardgasverbruik Gebouwde omgeving|2021"
"Venlo";97;97;94;91;92
"Venray";39;39;38;37;37
"Vijfheerenlanden";"?";"?";40;39;39
"Vlaardingen";57;57;55;54;52
"Vlieland";"?";"?";"?";2;"?"
"Vlissingen";32;33;33;31;32
"Voerendaal";11;11;"?";"?";11
"Voorne aan Zee";"?";51;50;50;49
"Voorschoten";19;19;"?";18;"?"
"Voorst";24;24;23;22;22
"Vught";"?";"?";"?";"?";29
"Waadhoeke";37;39;38;37;38
"Waalre";"?";"?";"?";"?";"?"
"Waalwijk";"?";47;41;40;41
"Waddinxveen";"?";19;19;18;19
"Wageningen";35;31;31;29;30
"Wassenaar";35;34;"?";30;"?"
"Waterland";"?";"?";13;"?";"?"
"Weert";45;46;43;42;42
"West Betuwe";44;44;42;40;41
"West Maas en Waal";16;16;17;16;16
"Westerkwartier";54;55;54;53;"?"
"Westerveld";23;23;"?";"?";22
"Westervoort";"?";"?";"?";"?";"?"
"Westerwolde";"?";"?";27;28;29
"Westland";"?";"?";"?";"?";"?"
"Weststellingwerf";23;24;23;22;22
"Wierden";20;20;18;18;20
"Wijchen";31;31;30;29;29
"Wijdemeren";23;23;22;20;21
"Wijk bij Duurstede";16;16;16;16;16
"Winterswijk";28;28;27;27;27
"Woensdrecht";22;21;20;"?";"?"
"Woerden";39;39;39;37;38
"Wormerland";11;11;11;11;11
"Woudenberg";"?";"?";"?";"?";"?"
"Zaanstad";111;"?";108;108;107
"Zaltbommel";23;23;22;21;22
"Zandvoort";18;18;17;17;17
"Zeewolde";"?";16;16;15;15
"Zeist";63;61;60;58;59
"Zevenaar";"?";34;32;31;32
"Zoetermeer";76;75;75;73;73
"Zoeterwoude";"?";7;"?";"?";"?"
"Zuidplas";27;28;27;27;27
"Zundert";20;"?";19;18;19
"Zutphen";41;40;39;38;39
"Zwartewaterland";17;17;17;16;17
"Zwijndrecht";33;31;31;30;30
"Zwolle";"?";"?";"?";"?";95
