"Gemeenten";"Gemiddeld aardgasverbruik appartement|2017";"Gemiddeld aardgasverbruik appartement|2018";"Gemiddeld aardgasverbruik appartement|2019";"Gemiddeld aardgasverbruik appartement|2020";"Gemiddeld aardgasverbruik appartement|2021";"Gemiddeld aardgasverbruik tussenwoning|2017";"Gemiddeld aardgasverbruik tussenwoning|2018";"Gemiddeld aardgasverbruik tussenwoning|2019";"Gemiddeld aardgasverbruik tussenwoning|2020";"Gemiddeld aardgasverbruik tussenwoning|2021";"Gemiddeld aardgasverbruik hoekwoning|2017";"Gemiddeld aardgasverbruik hoekwoning|2018";"Gemiddeld aardgasverbruik hoekwoning|2019";"Gemiddeld aardgasverbruik hoekwoning|2020";"Gemiddeld aardgasverbruik hoekwoning|2021";"Gemiddeld aardgasverbruik vrijstaande woning|2017";"Gemiddeld aardgasverbruik vrijstaande woning|2018";"Gemiddeld aardgasverbruik vrijstaande woning|2019";"Gemiddeld aardgasverbruik vrijstaande woning|2020";"Gemiddeld aardgasverbruik vrijstaande woning|2021";"Gemiddeld aardgasverbruik alle woningen|2017";"Gemiddeld aardgasverbruik alle woningen|2018";"Gemiddeld aardgasverbruik alle woningen|2019";"Gemiddeld aardgasverbruik alle woningen|2020";"Gemiddeld aardgasverbruik alle woningen|2021";"Totaal aardgasverbruik woningen|2017";"Totaal aardgasverbruik woningen|2018";"Totaal aardgasverbruik woningen|2019";"Totaal aardgasverbruik woningen|2020";"Totaal aardgasverbruik woningen|2021"
"Dalfsen";880;910;840;870;1000;1340;1340;1230;1150;1220;1510;1500;1370;1290;1380;2130;2160;1990;1900;2090;1650;1690;1550;1470;1600;17,7;18,3;17,1;16,4;18,2
"Dantumadiel";960;940;970;830;950;1400;1400;1290;1220;1340;1540;1560;1420;1340;1490;1850;1890;1750;1680;1880;1630;1650;1530;1450;1610;12,4;12,6;11,7;11,1;12,4
"De Bilt";920;940;890;850;960;1440;1430;1330;1250;1420;1760;1740;1620;1520;1730;3360;3270;3030;2600;2960;1680;1640;1530;1410;1590;30,7;30,0;28,2;25,9;29,6
"De Fryske Marren";860;840;800;830;930;1260;1250;1160;1100;1240;1370;1370;1270;1220;1360;1890;1910;1750;1710;1910;1490;1520;1400;1360;1520;32,1;33,0;30,6;29,9;33,5
"De Ronde Venen";800;800;760;760;840;1280;1280;1190;1130;1270;1540;1550;1440;1370;1530;2490;2520;2280;2110;2350;1490;1500;1380;1300;1450;25,0;25,6;23,8;22,6;25,3
"De Wolden";1120;1130;1050;1110;1270;1390;1370;1250;1180;1320;1490;1450;1330;1260;1420;2260;2260;2060;1970;2210;1830;1850;1680;1600;1800;17,3;17,6;16,3;15,6;17,7
"Delft";850;830;760;740;830;1090;1100;1010;990;1120;1320;1330;1220;1180;1310;2350;2390;2160;2060;2080;940;950;870;850;950;44,0;44,7;41,4;40,8;46,1
"Den Haag";1000;1010;950;890;1010;1150;1160;1110;1070;1220;1320;1330;1260;1230;1390;1990;1990;1880;1760;1890;1030;1060;1000;950;1070;246,3;255,8;243,7;233,5;267,0
"Den Helder";920;930;880;840;930;1240;1280;1190;1130;1290;1420;1470;1360;1280;1480;1840;1900;1760;1680;1850;1230;1270;1180;1120;1270;32,4;33,3;31,0;29,7;33,8
"Deurne";860;840;790;810;870;1240;1230;1160;1080;1230;1400;1390;1310;1230;1390;2330;2330;2170;2040;2310;1590;1590;1490;1410;1580;20,2;20,4;19,4;18,5;20,9
