"Gemeenten";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2016";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2017";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2018";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2019";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2020";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2021";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2022";"Jaarlijks subsidiebedrag via SEEH gesubsidieerde maatregelen particulieren|2023"
"Wormerland";22341;2073;"";"";85739;"";"";""
"Woudenberg";46859;21561;"";9544;156645;"";"";""
"Zaanstad";71394;39443;"";19189;511499;"";"";""
"Zaltbommel";49285;45413;"";23035;234991;"";"";""
"Zandvoort";29503;3221;"";14543;86006;"";"";""
"Zeewolde";2387;5235;"";"";51306;"";"";""
"Zeist";196556;50273;"";28800;740884;"";"";""
"Zevenaar";64199;30028;"";22926;347226;"";"";""
"Zoetermeer";37430;23495;"";22124;364703;"";"";""
"Zoeterwoude";1843;750;"";"";29721;"";"";""
"Zuidplas";115862;11850;"";9605;204036;"";"";""
"Zundert";74600;27428;"";8491;280175;"";"";""
"Zutphen";108708;34605;"";17644;408797;"";"";""
"Zwartewaterland";23752;48608;"";12069;160631;"";"";""
"Zwijndrecht";70808;46609;"";10364;275266;"";"";""
"Zwolle";173940;85718;"";49565;851492;"";"";""
